total_sqft,price
1056,39.07
2600,120.0
1440,62.0
1521,95.0
1200,51.0
1170,38.0
2732,204.0
3300,600.0
1310,63.25
1020,370.0
1800,70.0
2785,295.0
1000,38.0
1100,40.0
2250,148.0
1175,73.5
1180,48.0
1540,60.0
2770,290.0
1100,48.0
600,15.0
1755,122.0
2800,380.0
1767,103.0
510,25.25
1250,56.0
660,23.1
1610,81.0
1151,48.77
1025,47.0
2100 - 2850,186.0
1075,35.0
1760,123.0
1693,57.39
1925,125.0
700,36.0
1070,45.5
1724,125.0
1290,56.12
1143,45.0
1296,81.0
1254,38.0
600,38.0
660,48.0
1330.74,91.79
600,200.0
970,33.0
1459,94.82
800,130.0
869,36.0
1270,50.0
1670,99.0
2010,91.0
1185,75.0
1600,75.0
1200,44.0
3010 - 3410,192.0
1500,185.0
1407,150.0
840,45.0
4395,240.0
845,55.0
5700,650.0
1160,44.0
3000,140.0
1100,62.0
1140,43.0
1220,57.0
1350,85.0
1005,36.68
500,100.0
1358,80.58
1569,101.0
1240,70.0
2089,140.0
1206,48.23
1150,40.0
2511,205.0
460,22.0
4400,250.0
1660,105.0
2957 - 3450,224.5
1326,78.0
1325,60.8
1499,102.0
3000,210.0
1665,88.0
708,37.0
1060,58.06
710,160.0
1000,70.0
1000,28.88
1450,70.0
1200,155.0
1296,80.0
1540,90.0
2894,245.0
1330,48.0
1200,65.0
1200,90.0
2502,138.0
650,17.0
2400,150.0
1007,43.0
1200,50.0
966,49.9
1630,98.0
1640,229.0
782,55.68
1260,66.78
1800,120.0
1413,75.0
1116,51.91
1530,45.9
3700,225.0
2497,140.0
1540,64.0
1436,74.75
1100,75.0
276,23.0
1427,120.0
2061,200.0
3067 - 8156,477.0
2650,150.0
1282,68.52
1050,34.0
1600,65.0
945,54.0
1500,78.0
950,115.0
1870,110.0
1600,75.0
880,16.5
1200,210.0
1535,83.0
950,57.0
1360,65.0
1042 - 1105,54.005
1280,50.4
1260,85.05
5000,250.0
3050,213.0
1563.05,105.0
1000,60.0
1167,43.76
4000,225.0
1828,110.0
890,35.0
1612,46.74
1034,185.0
1710,91.31
957,58.0
1250,44.0
